row_id,xcoord,ycoord
111,33.34072,65.75723
112,33.37398,65.76577
113,33.40018,65.77548
114,33.42667,65.79138
115,33.44463,65.80433
116,33.4249,65.81434
117,33.41431,65.83406
118,33.44404,65.85997
119,33.50526,65.86055
120,33.54913,65.85791
121,33.57267,65.86703
122,33.60005,65.87704
123,33.63567,65.88145
124,33.67187,65.88499
125,33.70955,65.88646
126,33.7596,65.88381
127,33.77814,65.87645
128,33.73516,65.87086
129,33.68689,65.86262
130,33.64126,65.85496
131,33.59917,65.85378
132,33.57385,65.84907
133,33.53823,65.83995
134,33.5141,65.83288
135,33.50674,65.82435
136,33.51675,65.80727
137,33.53823,65.80521
138,33.55678,65.80374
139,33.58268,65.79638
140,33.61565,65.80698
141,33.63979,65.8164
142,33.65304,65.82052
143,33.6757,65.82346
144,33.70043,65.81522
145,33.72692,65.80904
146,33.75606,65.81287
147,33.7905,65.81581
148,33.82318,65.81934
149,33.84879,65.82405
150,33.87469,65.83347
151,33.89383,65.84113
152,33.91473,65.8323
153,33.94151,65.81522
154,33.94769,65.79992
155,33.92738,65.78696
156,33.90648,65.78314
157,33.87087,65.78608
158,33.84202,65.78078
159,33.817,65.77872
160,33.7958,65.7746
161,33.77755,65.76371
162,33.73605,65.76283
163,33.70573,65.75929
164,33.68129,65.74958
165,33.65833,65.73957
166,33.6442,65.73074
167,33.63066,65.7222
168,33.6183,65.71543
169,33.60329,65.69954
170,33.60918,65.67746
171,33.61271,65.66245
172,33.65245,65.6495
173,33.70632,65.63272
174,33.69395,65.62595
175,33.66952,65.62153
176,33.6339,65.61447
177,33.60123,65.61299
178,33.5712,65.60946
179,33.53264,65.62153
180,33.50703,65.6286
181,33.4879,65.618
182,33.45198,65.61594
183,33.4252,65.62742
184,33.44934,65.63095
185,33.47347,65.63831
186,33.49673,65.64832
187,33.52087,65.65273
188,33.51527,65.66186
189,33.50291,65.66127
190,33.48201,65.65715
191,33.44845,65.65273
192,31.27899,66.02893
193,31.23954,66.02452
194,31.23277,66.00391
195,31.23307,65.96947
196,31.24043,65.95357
197,31.28046,65.95004
198,31.31372,65.93974
199,31.33139,65.92679
200,31.34051,65.91913
201,31.35023,65.91266
202,31.35641,65.89912
203,31.34434,65.8791
204,31.31932,65.87027
205,31.28723,65.87586
206,31.25809,65.87969
207,31.23954,65.86556
208,31.25338,65.85761
209,31.27605,65.8529
210,31.30313,65.832
211,31.28635,65.81611
212,31.216,65.81669
213,31.17243,65.82346
214,31.14711,65.84024
215,31.13416,65.85938
216,31.1533,65.85849
217,31.19716,65.86026
218,31.22453,65.87527
219,31.21629,65.88204
220,31.20569,65.88764
221,31.18921,65.895
222,31.17066,65.89794
223,31.08118,65.92002
224,31.04968,65.92502
225,31.00111,65.93032
226,30.97756,65.93503
227,30.94312,65.94504
228,30.91515,65.95092
229,30.88513,65.95475
230,30.8239,65.97359
231,30.7877,65.99537
232,30.75796,66.00597
233,30.7141,66.01833
234,30.67113,66.02628
235,30.64169,66.03541
236,30.62491,66.0513
237,30.62138,66.06396
238,30.62786,66.07809
239,30.64846,66.08604
240,30.67142,66.09575
241,30.70292,66.10576
242,30.73618,66.12077
243,30.72352,66.1352
244,30.69997,66.14256
245,30.66082,66.15757
246,30.62962,66.16493
247,30.6096,66.1717
248,30.59371,66.18465
249,30.61755,66.19642
250,30.64022,66.19848
251,30.68231,66.19466
252,30.72205,66.18965
253,30.73648,66.18612
254,30.74943,66.19466
255,30.76768,66.20084
256,30.79182,66.20997
257,30.82802,66.2188
258,30.86688,66.22527
259,30.8395,66.23381
260,30.79182,66.24058
261,30.78357,66.25471
262,30.81419,66.26266
263,30.84598,66.27531
264,30.83067,66.28885
265,30.80712,66.29563
266,30.76738,66.30975
267,30.74177,66.32801
268,30.72882,66.3389
269,30.74148,66.34567
270,30.78475,66.33625
271,30.79711,66.323
272,30.8189,66.33507
273,30.85452,66.34655
274,30.87954,66.3386
275,30.89543,66.33271
276,30.9022,66.31976
277,30.88896,66.30416
278,30.88395,66.29533
279,30.91368,66.28944
280,30.94665,66.28297
281,30.96314,66.28179
282,30.98727,66.2865
283,31.00346,66.2915
284,31.0226,66.29386
285,31.04585,66.29798
286,31.06293,66.30446
287,31.07411,66.29945
288,31.10296,66.29209
289,31.14123,66.32035
290,31.14093,66.35744
291,31.11797,66.36509
292,31.10679,66.37216
293,31.12121,66.37128
294,31.14564,66.36951
295,31.15859,66.38217
296,31.17861,66.38747
297,31.20952,66.39218
298,31.22571,66.40807
299,31.25044,66.41661
300,31.27075,66.41955
301,31.23366,66.42456
