row_id,xcoord,ycoord
326,36.52508,53.35643
327,36.48902,53.38858
328,36.47755,53.40469
329,36.46567,53.40567
330,36.45493,53.40961
331,36.45289,53.43448
332,36.44654,53.43797
333,36.431,53.44001
334,36.37159,53.45246
335,16.0197,49.66673
336,16.00587,49.67471
337,15.99708,49.68391
338,15.99529,49.69481
339,16.00538,49.70523
340,16.0254,49.71288
341,16.05006,49.71125
342,16.09148,49.6883
343,16.11451,49.69009
344,16.13364,49.69554
345,16.14479,49.69379
346,16.15496,49.68871
347,16.19174,49.68407
348,16.20932,49.67943
349,16.22055,49.66795
350,16.23146,49.62596
351,16.24643,49.60366
352,16.26629,49.58812
353,16.30348,49.57534
354,16.327,49.56127
355,16.34254,49.54116
356,16.34246,49.52041
357,16.33481,49.50121
358,16.33229,49.48485
359,16.3379,49.46967
360,16.3628,49.43456
361,16.3812,49.39322
362,16.39918,49.37202
363,16.41383,49.35065
364,16.41603,49.32909
365,16.43116,49.30195
366,16.47657,49.26708
367,16.52817,49.23379
368,16.57447,49.19864
369,16.60613,49.18822
370,16.6185,49.17646
371,16.62566,49.15754
372,16.62761,49.13516
373,16.61638,49.05923
374,16.61964,49.04389
375,16.66277,49.0104
376,16.66782,48.99624
377,16.65846,48.98184
378,16.61752,48.95498
379,16.60743,48.93895
380,16.59889,48.91621
381,44.41261,32.56342
382,44.44972,32.53929
383,44.46176,32.53262
384,44.48268,32.52766
385,44.50603,32.51488
386,44.52394,32.48949
387,44.53712,32.46186
388,44.54835,32.44383
389,44.56153,32.43838
390,44.60304,32.44383
391,44.6548,32.43903
392,44.66603,32.44815
393,44.67213,32.46304
394,44.68295,32.47573
395,44.69939,32.4831
396,44.71852,32.48526
397,44.76149,32.47451
398,44.7815,32.47891
399,44.80486,32.47704
400,44.82553,32.45987
401,44.84685,32.43667
402,44.8711,32.42056
403,44.89332,32.41454
404,44.92465,32.41535
405,44.94532,32.40522
406,44.96534,32.38935
407,44.97926,32.37499
408,44.99285,32.36563
409,45.01205,32.36176
410,45.03256,32.35399
411,45.04916,32.33519
412,45.05584,32.31509
413,45.05006,32.29255
414,45.05934,32.27163
415,45.08302,32.24722
416,45.11549,32.22712
417,45.14991,32.21434
418,45.1985,32.20303
419,45.21241,32.19579
420,45.22608,32.19147
