Country,Latitude,Longitude,SiteID,SiteName,Slope,Profile cu,ele30m,Tangential,Aspect
Great Britain,54.79230,-4.10462,S6241,Brighouse Bay,6.64561,0.00000,41.00000,-0.00000,163.88507
Great Britain,51.22400,-1.70784,S6242,Brigmerston Down,1.85920,0.00207,99.00000,-0.00003,187.15813
Great Britain,52.11480,-4.04924,S6243,Bryn Maen,1.76741,-0.00171,123.00000,-0.00000,148.38177
Great Britain,50.48040,-3.60272,S6244,Bulleigh Meadow,4.68178,0.00065,55.00000,-0.00082,81.09305
Great Britain,51.42450,-1.02474,S6245,Burghfield,2.77876,0.00104,39.00000,0.00000,270.00000
Great Britain,51.43330,-1.00297,S6246,Burghfield Cottages,2.68484,0.00057,40.00000,-0.00099,14.99640
Great Britain,52.46190,0.38627,S6247,Burnt Fen,2.81660,0.00041,-1.00000,0.00104,132.28761
Great Britain,51.10340,-1.27007,S6248,Burntwood Farm,4.72451,0.00000,88.00000,-0.00000,308.45566
Great Britain,50.89900,-0.57600,S6249,Bury Hill,3.49178,0.00055,147.00000,-0.00099,340.64246
Great Britain,53.22820,0.23839,S6250,Butterbump,0.79500,-0.00092,1.00000,0.00053,119.05159
Great Britain,51.02440,-2.53156,S6251,Cadbury Castle,3.13937,0.00308,149.00000,0.00206,54.21822
Great Britain,53.27460,-1.59057,S6252,Cairnfield,4.62784,0.00288,311.00000,0.00000,360.00000
Great Britain,51.59340,-2.74064,S6253,Caldicot Castle,1.31475,-0.00329,7.00000,-0.00088,31.91694
Great Britain,55.36320,-1.90691,S6254,Callaly Moor,6.50722,-0.00071,209.00000,-0.00211,262.85245
Great Britain,52.46550,-3.84346,S6255,Camddwr,12.00380,0.00429,373.00000,0.00266,321.12402
Great Britain,51.62740,0.77738,S6256,Canewdon,0.78859,-0.00093,0.00000,0.00051,61.82758
Great Britain,51.50410,-0.70891,S6257,Cannon Hill,1.13770,-0.00231,31.00000,0.00024,348.24850
