Country,Latitude,Longitude,SiteID,Elevation,SiteName,min_lakes_distance,min_rivers_distance,min_borders_distance
Great Britain,51.3975,-1.2769,S3965,15,Thatcham II,4.07044518,0.515150478,0.515150478
Great Britain,51.3975,-1.2783,S3966,17,Thatcham III,4.07013209,0.514683672,0.514683672
Great Britain,51.3975,-1.2783,S3967,17,Thatcham IV,4.07013209,0.514683672,0.514683672
Great Britain,51.3966,-1.2769,S3968,15,Thatcham Site III,4.069568013,0.514302454,0.514302454
Great Britain,51.3975,-1.2726,S3969,17,Thatcham V,4.071409671,0.516605322,0.516605322
Great Britain,51.3975,-1.2783,S3970,17,Thatcham,4.07013209,0.514683672,0.514683672
Great Britain,55.8228,-2.605,S3972,0,The Dunion,1.602780947,0.180658261,0.180658261
Great Britain,53.3086,-1.206,S3977,69,Thorpe Common,4.314245823,0.506913722,0.619384002
Great Britain,50.4938,-3.6709,S3980,0,Three Holes Cave,3.403592204,0.13018443,0.13018443
Great Britain,51.6358,-0.445,S4000,0,Tolpits Lane,4.552017151,0.501127341,0.823401198
Great Britain,51.638,-0.429,S4001,0,Tolpitts Lane,4.559918859,0.500403614,0.82230166
Ireland,54.7509,-6.4777,S4003,0,Toome Bay,0.007146496,0.005395341,0.469765195
Great Britain,50.4932,-3.6677,S4008,0,Tornewton Cave,3.401658836,0.127086041,0.127086041
Ireland,53.7218,-6.4501,S4018,0,Townley Hall,0.525134388,0.187976229,0.187976229
Great Britain,53.1824,-4.4665,S4046,137,Trwyn Du,1.995201761,0.015387748,0.015387748
Great Britain,51.5803,-0.5335,S4050,0,"Tufa with soils, animal bones, and flint-knapping",4.467595216,0.556800882,0.779037447
Great Britain,58.5347,-3.6009,S4052,0,Tulloch of Assery A,0.951156315,0.091001207,0.091001207
Great Britain,58.5346,-3.6026,S4053,0,Tulloch of Assery B,0.949632041,0.09193343,0.09193343
Great Britain,57.5851,-3.5239,S4054,67,Tulloch Wood,0.838317335,0.077740006,0.077740006
Ireland,54.4531,-7.81,S4055,89,Tully,0.011184297,0.034244937,0.361327973
Great Britain,56.4903,-5.86527,S4074,306,Ulva Cave,0.303606359,0.036294965,0.036294965
Great Britain,50.9124,-3.4439,S4077,84,Underlies presumptive Neo earthen long barrow,3.701709996,0.234769372,0.234769372
Great Britain,56.1394,-5.48399,S4081,216,Upper Largie,0.114291476,0.046692411,0.046692411
Great Britain,51.5325,-2.97031,S4088,96,Uskmouth  ,3.847141927,0.019269894,0.019269894
Great Britain,51.5325,-2.9588,S4089,109,Uskmouth 8,3.857589771,0.01345617,0.01345617
Great Britain,53.2302,-2.1993,S4182,75,Walker's Heath,3.667494496,0.515038211,0.515038211
Great Britain,51.4632,-0.1932,S4186,0,Wandsworth,4.492909906,0.577818104,0.577818104
Great Britain,53.5809,-1.9547,S4196,0,Warcock Hill South,3.574765316,0.779509845,0.779509845
Great Britain,53.5845,-1.9517,S4197,3,Warcock Hill,3.574417928,0.783439615,0.783439615
Great Britain,55.0096,-3.09125,S4198,192,Warden's Dykes,1.779963034,0.048352796,0.048352796
Great Britain,57.0258,-2.4102,S4199,0,Wardend ,1.662678988,0.223793066,0.223793066
Great Britain,51.4091,-1.4248,S4208,12,Wawcott III,4.051309665,0.492701033,0.492701033
Great Britain,51.4055,-1.4177,S4209,12,Wawcott,4.049118604,0.489769246,0.489769246
Great Britain,51.5664,-1.5958,S4210,85,Wayland's Smithy,4.178260195,0.568947994,0.661025175
Great Britain,53.6205,-2.0121,S4211,7,Waystone Edge,3.506004441,0.738314869,0.738314869
Great Britain,54.6805,-1.2244,S4215,0,West Hartlepool,3.378728053,0.033134437,0.033134437
Great Britain,51.5647,-0.1877,S4216,0,West Heath,4.587271262,0.583009006,0.583009006
Great Britain,50.8409,-0.7543,S4220,0,Westhampnett,3.699064019,0.063929682,0.063929682
Great Britain,51.0395,-4.24013,S4221,69,Westward Ho,3.062444105,0.016716232,0.016716232
Great Britain,51.0383,-4.2396,S4222,87,Westwood Ho,3.063650889,0.017703031,0.017703031
Great Britain,53.1035,-1.8566,S4223,38,Wetton Mill,3.986883212,0.878976926,0.878976926
Great Britain,53.2672,-1.2023,S4226,38,Whitwell Long Cairn,4.343672711,0.542569472,0.643642567
Great Britain,51.7729,-0.4055,S4232,0,Willington,4.694102083,0.36664262,0.852298683
Great Britain,51.4401,-1.8748,S4235,40,Windmill Hill,4.022002313,0.599639322,0.599639322
Great Britain,51.567,-4.285,S4241,38,Worms Head Cave,2.690560669,0.011341393,0.011341393
Great Britain,50.9366,-1.9915,S4245,141,Wyke Down,3.511793977,0.202308073,0.202308073
Great Britain,55.5908,-5.50719,S4307,32,Achnasavil,0.620151373,0.028485493,0.028485493
