Country,Latitude,Longitude,SiteID,SiteName,slope,Profile cu,ele30m,tangential,aspect,lake,river
Great Britain,53.5809,-1.9547,S4196,Warcock Hill South,6.50494,0.00081,390,0.00022,96.84437,3.667493843,1.158532138
Great Britain,53.5845,-1.9517,S4197,Warcock Hill,2.26394,-0.00274,366,-0.00116,30.75469,4.492914021,0.712029129
Great Britain,55.0096,-3.09125,S4198,Warden's Dykes,3.35061,0.0059,41,0.00145,196.03221,3.574765341,0.806126237
Great Britain,57.0258,-2.4102,S4199,Wardend,0.48357,0.00089,115,-0.00013,331.39423,3.57441796,0.802852255
Great Britain,51.4091,-1.4248,S4208,Wawcott III,2.3723,0.00033,88,-0.00177,231.35765,1.779963836,0.584589229
Great Britain,51.4055,-1.4177,S4209,Wawcott,4.19004,0.00132,92,-0.00005,37.39526,1.662674428,1.088914967
Great Britain,51.5664,-1.5958,S4210,Wayland's Smithy,1.96794,0.00163,219,0.00253,304.51495,4.051304646,0.601247808
Great Britain,53.6205,-2.0121,S4211,Waystone Edge,9.3698,0.00085,427,-0.00368,188.45421,4.049113578,0.601779877
Great Britain,54.6805,-1.2244,S4215,West Hartlepool,1.22116,-0.00266,16,0.00024,349.06818,4.178255347,0.568949259
Great Britain,51.5647,-0.1877,S4216,West Heath,4.71972,0.00141,108,0.00271,118.13926,3.506004446,0.762821933
Great Britain,50.8409,-0.7543,S4220,Westhampnett,0.78572,0.00093,15,-0.00049,242.23552,3.378724527,0.452168669
Great Britain,51.0395,-4.24013,S4221,Westward Ho,6.49393,0.00112,22,0.00313,106.36907,4.587275363,0.614883684
Great Britain,51.0383,-4.2396,S4222,Westwood Ho,20.21114,0.00251,54,-0.00048,90.99854,3.699068013,1.136890908
Great Britain,53.1035,-1.8566,S4223,Wetton Mill,20.23906,0.00042,259,0.00642,244.06531,3.062444083,1.39201677
Great Britain,53.2672,-1.2023,S4226,Whitwell Long Cairn,6.98236,0.00423,75,0.00122,172.4113,3.063650866,1.392598005
Great Britain,51.7729,-0.4055,S4232,Willington,0.78914,0.00093,138,-0.00051,61.75055,3.986882831,1.059495194
Great Britain,51.4401,-1.8748,S4235,Windmill Hill,3.14859,-0.00022,188,0.00185,298.07379,4.34367314,0.542569673
Great Britain,51.567,-4.285,S4241,Worms Head Cave,4.0653,0.00207,77,0.00186,223.07082,4.69410607,0.366646031
Great Britain,50.9366,-1.9915,S4245,Wyke Down,2.77899,0.00104,68,0,270,4.021997717,0.810327279
Great Britain,55.5908,-5.50719,S4307,Achnasavil,0,0,7,0,0,2.690557443,1.049891209
Great Britain,52.23,-0.92,S4333,Briar Hill,5.30128,0.00217,62,-0.00183,73.50597,3.511789472,0.957735034
Great Britain,52.394,-2.762,S4334,Bromfield,0.92675,-0.00105,89,0,270,0.620155375,1.196628626
Great Britain,51.17,-1.81,S4344,Coneybury 'Anomaly',1.30609,-0.00145,107,-0.00163,327.84357,4.964326435,0.176295388
Great Britain,50.913,-2.222,S4380,Hambledon Hill,9.82534,-0.00069,180,0.00114,175.98196,3.775646045,0.323311921
Great Britain,51.1831,-1.81,S4392,W59 King Barrow Ridge,1.85758,0.00054,107,0.00008,172.83556,3.758736361,0.965294796
Great Britain,53.26,-1.94,S4412,Lismore Fields,8.75392,0.00143,338,0.00099,293.21146,3.482863106,0.832043223
Great Britain,52.865,-4.047,S4428,Moel y Gerddi,12.17967,0.00151,320,-0.00095,343.6785,3.77177023,0.959299797
Great Britain,51.21,-1.86,S4451,Robin Hood's Ball,2.67273,0.00056,128,-0.00099,344.93335,3.814980574,1.021156683
Great Britain,50.7,-2.544,S4455,Rowden,5.8914,0.00496,151,-0.00089,189.02174,2.431045751,0.781104051
Ireland,52.404,-8.611,S4472,Tankardstown,1.77575,-0.00175,77,0,328.54916,3.793888392,0.90254079
Great Britain,51.733,0.73964,S4483,The Stumble,1.39012,-0.00105,0,0,90,3.289034665,0.924957123
Great Britain,51.441,-1.876,S4501,Windmill Hill - external features,1.99598,0.00123,195,0.00087,291.80298,0.945663577,0.625595267
Great Britain,52.468,1.4514,S4522,Ditchingham Broome Heath,2.0021,-0.00176,5,-0.00185,112.26163,4.884222436,0.926270504
Isle of Man,54.15,-4.48333,S4528,Ballacottier,5.0716,-0.0026,31,-0.0004,338.62729,4.022801783,0.808960037
Isle of Man,54.15,-4.48333,S4530,Ballateare,5.0716,-0.0026,31,-0.0004,338.62729,4.052600767,1.100018116
Isle of Man,54.15,-4.48333,S4531,Ballavarry,5.0716,-0.0026,31,-0.0004,338.62729,4.9830615,0.195921742
Isle of Man,54.15,-4.48333,S4532,Glencrutchery,5.0716,-0.0026,31,-0.0004,338.62729,1.540162797,2.609893291
Isle of Man,54.15,-4.48333,S4534,Mull Hill Circle,5.0716,-0.0026,31,-0.0004,338.62729,0.185823747,1.679608389
Isle of Man,54.15,-4.48333,S4535,Ronaldsway House,5.0716,-0.0026,31,-0.0004,338.62729,4.484285396,0.591175227
Great Britain,52.929,0.49672,S4536,"Redgate Hill, Hunstanton",2.83017,-0.00057,28,-0.00164,312.59436,3.76224879,0.96394566
Great Britain,57.8083,-7.0939,S4537,Northon,5.46453,-0.00216,4,0.00297,256.26807,3.784215381,0.974878368
Ireland,52.2513,-9.6539,S4634,Ballycarty,1.21834,0.00049,18,-0.00008,71.95081,5.393611779,0.351906533
Great Britain,54.0948,-0.28588,S4667,Caythorpe,0.7881,0.00101,23,0.00035,360,5.404568845,0.342824685
Great Britain,51.1735,-1.8097,S4678,Coneybury henge,1.12989,0.00227,107,-0.00024,348.16541,5.399313371,0.34652767
Great Britain,51.1932,-1.78673,S4707,Durrington Walls,7.51801,-0.0001,100,-0.00253,281.2511,5.399313371,0.34652767
Great Britain,52.6534,-0.32359,S4730,Etton,2.02696,0.0027,11,0.00262,20.04624,5.399313371,0.34652767
Great Britain,52.6481,-0.31322,S4731,Etton - A151 bypass site,1.58486,-0.00056,9,0.00209,241.27496,5.399313371,0.34652767
Great Britain,52.6493,-0.31962,S4732,Etton Landscape Site 1,1.6269,-0.00203,7,-0.00119,225.38882,5.399313371,0.34652767
Great Britain,52.6493,-0.31962,S4733,Etton Landscape Site 2,1.6269,-0.00203,7,-0.00119,225.38882,3.506774008,0.955622711
Great Britain,52.6493,-0.31962,S4734,Etton Landscape Site 4,1.6269,-0.00203,7,-0.00119,225.38882,5.403290144,0.040919959
Great Britain,52.6493,-0.31962,S4735,Etton Landscape Site 6,1.6269,-0.00203,7,-0.00119,225.38882,5.423520008,0.051382119
Great Britain,52.6493,-0.31962,S4736,Etton Landscape Site 7,1.6269,-0.00203,7,-0.00119,225.38882,1.000109759,0.800077521
