,country,latitude,longitude,siteid,sitename,slope,profile,tangential,aspect,elevation,lakes_distance,rivers_distance,borders_distance
128,Great Britain,53.1833,-1.85,S1951,Fox Hole Cave,8.681239999999999,-0.00205,0.00091,221.45712000000003,42,3.9323835560000004,0.8663226470000001,0.8663226470000001
129,Great Britain,51.5659,-4.08908,S1952,"Foxhole Cave, Gower",15.44314,0.00093,1e-05,275.39185,38,2.8519802060000004,0.004372242,0.004372242
130,Great Britain,51.091,-1.7272,S1967,Fussel's Lodge,1.7391,0.00218,0.0015,212.20085,156,3.6895707239999997,0.31285759399999996,0.31285759399999996
131,Great Britain,56.11,-3.93,S1978,Garden,0.82878,-0.00223,0.00035,360.0,0,0.460178031,0.092567085,0.092567085
132,Great Britain,55.7229,-3.4306,S1980,Garvald Burn,5.60021,-0.0016600000000000002,0.00103,261.60101000000003,188,1.0411807229999999,0.131280132,0.26801451
133,Great Britain,51.5153,-1.1352,S1983,Gatehampton Farm,1.31313,0.0008900000000000001,0.00013000000000000002,328.03873,37,4.218449724,0.443219108,0.6672031310000001
134,Great Britain,53.1019,-3.5281,S2002,Geometric industry under BA cairn,4.8951400000000005,0.00161,-0.0009699999999999999,314.91168,38,2.933696031,0.195539365,0.195539365
135,Ireland,52.5196,-8.5304,S2005,Geroid Island,0.0,0.0,0.0,0.0,79,0.308005326,0.26880975100000004,0.26880975100000004
136,Great Britain,53.22,0.14,S2010,Giant's Hills 2,0.77195,0.0009699999999999999,-0.0017399999999999998,180.0,79,4.902204233,0.18579552,0.18579552
137,Great Britain,53.25,0.1667,S2011,Giants' Hills,1.54471,-0.0029100000000000003,-0.00209,360.0,11,4.881222786,0.145647188,0.145647188
138,Great Britain,55.946999999999996,-5.9758,S2025,Glenbatrick,3.7903800000000003,0.00022999999999999998,-0.00209,102.55814000000001,263,0.640931777,0.022141134,0.022141134
139,Ireland,54.3052,-9.458,S2026,Glenulra,5.66519,0.00044,0.0019199999999999998,69.60826,64,0.260658321,0.0061113009999999995,0.0061113009999999995
140,Great Britain,55.8859,-5.2031,S2027,Glenvoidean,8.83758,-0.00099,-0.0028899999999999998,236.28792,85,0.352259055,0.009861952,0.009861952
141,Great Britain,51.5328,-2.9228,S2036,Goldcliff West,0.0,0.0,0.0,0.0,89,3.890181712,0.022745658999999998,0.022745658999999998
142,Great Britain,51.5328,-2.9199,S2037,Goldcliff,0.0,0.0,0.0,0.0,91,3.8928198210000002,0.025396161,0.025396161
143,Ireland,55.20399999999999,-6.1164,S2042,Goodland,5.00024,0.0007700000000000001,-0.00221,104.02486999999999,0,0.5021655629999999,0.014534758,0.014534758
144,Great Britain,51.2667,-2.75,S2053,Gough's Cave,11.41,0.00288,0.00227,227.86407000000003,150,3.8773659019999998,0.201472168,0.201472168
145,Great Britain,54.0717,-1.8747,S2062,Grassington,1.3705100000000001,0.0017100000000000001,0.00168,30.46129,25,3.3018433289999995,0.31411994600000004,0.8701450000000001
146,Great Britain,51.4049,-1.3185,S2067,Greenham Dairy Farm,2.37221,0.00033,-0.0017699999999999999,128.6398,8,4.068566328999999,0.508720114,0.508720114
147,Great Britain,52.4754,0.6786,S2072,Grimes Graves,3.0331099999999998,0.00117,-0.0007599999999999999,82.82005,40,4.290799786,0.34941127899999996,0.415107751
148,Great Britain,50.8788,-0.4647,S2189,Harrow Hill,3.4637599999999997,2.9999999999999997e-05,-0.00124,212.31966,0,3.8485293119999997,0.101950624,0.101950624
149,Great Britain,51.3195,-2.9458,S2207,Haywood Cave,17.21475,-0.00072,-0.00021,82.81921,114,3.962366677,0.044146715999999996,0.044146715999999996
150,Great Britain,51.8686,-1.8958,S2210,Hazleton North,1.85317,0.0,0.0,270.0,93,4.447899047,0.496566871,0.496566871
151,Great Britain,54.3493,-4.4759,S2211,"Hearth, charcoal dumps and flint-knapping floor",2.5514,0.00047000000000000004,-0.00151,201.27855,0,1.6718331000000002,0.041438275,0.041438275
152,Great Britain,54.9755,-3.0937,S2212,Hearth,4.62207,-0.00518,0.0,270.0,34,1.798508899,0.014556215,0.014556215
153,Great Britain,50.8202,-3.2605,S2224,Hembury,10.76662,0.006529999999999999,0.00179,340.10107,150,3.555556016,0.145393929,0.145393929
154,Great Britain,50.7124,-1.7479,S2227,Hengistbury Head,1.1798899999999999,0.0001,-0.00027,308.22033999999996,0,3.31145666,0.011870105,0.011870105
155,Great Britain,52.9435,-1.5074,S2231,High Furlong,1.17354,0.00246,-0.00023999999999999998,11.38475,85,4.342016584,0.966829026,1.087702855
156,Great Britain,51.0053,0.1325,S2232,High Hurstwood,4.16744,0.00131,-0.00035,37.63705,42,4.244456766,0.232996785,0.232996785
157,Great Britain,51.1218,0.22913000000000003,S2233,High Rocks,2.7789,0.0010400000000000001,0.0,270.0,97,4.3943503139999995,0.331984186,0.331984186
158,Great Britain,51.2841,0.2272,S2234,High Rocks Shelks,3.64385,-0.0007700000000000001,-0.0012699999999999999,72.31121999999999,108,4.532063537,0.230904978,0.230904978
159,Great Britain,56.6215,-3.9062,S2251,Home Farm Castle,0.47958999999999996,0.00039,-0.0017399999999999998,208.86758,116,0.113124801,0.10766573199999999,0.513500406
160,Great Britain,56.5361,-4.1635,S2252,Home Farm,16.07197,0.0013,0.00088,329.67047,281,0.015396808,0.169598967,0.534444451
161,Great Britain,51.4635,-0.5361,S2259,Horton Manor Farm,1.8533,0.00209,0.0,90.0,0,4.3583268969999995,0.6622457429999999,0.6622457429999999
