Country,Latitude,Longitude,SiteID,SiteName,Slope,SRTM_World,Aspect
Great Britain,53.24880,0.33000,S6169,Anderby Creek,60000.00000,3.00000,90.00000
Great Britain,54.23830,-1.10538,S6170,Antofts Windypit,2388912.00000,114.00000,77.80594
Great Britain,53.59790,-0.52503,S6171,Appleby,42426.40625,2.00000,210.74684
Great Britain,51.90950,0.98364,S6172,Ardleigh,90000.00000,29.00000,90.00000
Great Britain,56.56950,-6.00182,S6173,Ardnacross,1274558.75000,58.00000,312.16724
Great Britain,55.88720,-6.33614,S6174,Ardnave,288530.75000,9.00000,133.28929
Great Britain,51.16480,-2.82245,S6175,Ashcott Heath,335410.18750,2.00000,73.87130
Great Britain,56.18740,-3.04418,S6176,Ashgrove Farm,106066.01563,35.00000,104.36915
Great Britain,53.27910,-1.22754,S6177,Ash Tree Cave,560044.62500,124.00000,12.55044
Great Britain,52.85740,-1.37318,S6178,Aston,84852.81250,36.00000,148.81419
Great Britain,52.00860,-0.62450,S6179,Aston Mill,949868.43750,109.00000,294.30377
Great Britain,56.01000,-5.20533,S6180,Auchategan,1170000.00000,152.00000,180.00000
Great Britain,51.41560,-1.85738,S6181,Avebury,495227.21875,155.00000,87.22552
Great Britain,51.48570,0.22401,S6182,Aveley Marshes,106066.01563,0.00000,211.97800
Great Britain,56.21600,-3.15945,S6183,Balbirnie,108166.53906,103.00000,339.62082
Great Britain,51.19900,-1.49758,S6184,Balksbury,418389.78125,77.00000,292.42368
Great Britain,54.37090,-4.47411,S6185,Ballachrink Farm,323805.50000,11.00000,67.81492
Great Britain,54.16250,-4.55051,S6186,Ballaquinney Beg,1248879.50000,92.00000,52.68053
Great Britain,55.39720,-5.66905,S6187,Balloch Hill,445982.06250,137.00000,302.10999
Great Britain,57.56600,-3.98958,S6188,Balnagowan,364965.75000,17.00000,287.23141
Great Britain,56.63760,-2.64404,S6189,Balneaves,87464.28125,42.00000,341.70441
Great Britain,50.80440,-2.04850,S6190,Barford Farm,381837.65625,30.00000,212.36137
Great Britain,52.11540,1.12596,S6191,Barham,218403.29688,47.00000,170.02390
Great Britain,52.67800,-0.37130,S6192,Barholm,142302.50000,12.00000,348.54706
Great Britain,54.00990,-0.21135,S6193,Barmston,195576.07813,0.00000,357.40579
Great Britain,52.64930,-0.44924,S6194,Barnack,161554.93750,22.00000,56.66790
Great Britain,56.04370,-3.32000,S6195,Barns Farm,761610.12500,45.00000,318.28497
Great Britain,54.74640,-4.57467,S6196,Barsalloch,402492.25000,10.00000,196.13222
Great Britain,51.26150,-1.08497,S6197,Basingstoke,247386.34375,96.00000,68.27471
Great Britain,51.71090,-1.96961,S6198,Bath Gate,497041.25000,121.00000,98.32536
Great Britain,52.74990,0.46423,S6199,Bawsey,285394.46875,22.00000,274.95731
Great Britain,51.40780,-1.90366,S6200,Beckhampton Road,506013.84375,166.00000,108.73538
Great Britain,50.82510,0.04620,S6201,Beddingham,1515074.25000,50.00000,179.64069
Great Britain,51.38490,-0.13590,S6202,Beddington,123693.17188,34.00000,111.77860
Great Britain,53.12770,-2.69053,S6203,Beeston Castle,2392958.50000,129.00000,302.45645
Great Britain,51.23620,1.14048,S6204,Bekesbourne,340073.53125,73.00000,215.43083
Great Britain,51.54080,-1.52123,S6205,Bellbarrow,171026.31250,188.00000,189.65176
Great Britain,56.47300,-5.37587,S6206,Benderloch,255440.79688,16.00000,146.81172
Great Britain,57.60410,-1.95482,S6207,Berrybrae,276586.34375,45.00000,247.51170
Great Britain,51.29850,-2.74020,S6208,Gorsey Bigbury,683117.87500,246.00000,283.93533
Great Britain,52.88590,-0.32635,S6209,Billingborough,63639.60938,6.00000,211.16914
Great Britain,50.58040,-1.25915,S6210,Binnel Point,,11.00000,
Great Britain,51.82680,-2.09868,S6211,Birdlip bypass,212132.03125,282.00000,148.21625
Great Britain,55.10840,-3.66023,S6212,Birkhall,382426.46875,30.00000,27.15519
Great Britain,54.59270,-3.08811,S6213,Birkswood,195576.07813,152.00000,200.28107
Great Britain,54.45240,-3.43456,S6214,Birrel Sike,361247.84375,227.00000,152.61777
Great Britain,50.78670,0.08141,S6215,Bishopstone,1034456.37500,33.00000,295.54929
Great Britain,56.44260,-5.36992,S6216,Black Crofts,421070.06250,73.00000,82.65209
Great Britain,50.86870,-0.44512,S6217,Blackpatch,991816.50000,110.00000,264.52921
Great Britain,55.64580,-3.66540,S6218,Blackshouse Burn,465241.87500,291.00000,266.73529
Great Britain,51.74630,0.80973,S6219,Blackwater Site,76485.28906,15.00000,287.85876
Great Britain,56.13960,-4.06013,S6220,Blair Drummond,142302.50000,8.00000,349.45728
Great Britain,51.19380,-2.79863,S6221,Blakeway Farm,42426.40625,2.00000,212.14287
Great Britain,53.90820,-2.64396,S6222,Bleasdale,379473.31250,210.00000,299.44623
Great Britain,55.80490,-6.29821,S6223,Borraichill Mor,262392.84375,28.00000,161.32863
Great Britain,52.50750,-4.05532,S6224,Borth,254558.43750,4.00000,211.39059
Great Britain,52.42840,-1.94704,S6225,Bournville,540832.68750,137.00000,42.51839
Great Britain,54.95390,-3.95685,S6226,Bow Hill,106066.01563,47.00000,283.94064
Great Britain,54.11980,-0.22651,S6227,Boynton,94868.32813,94.00000,191.07921
Great Britain,56.63240,-2.60646,S6228,Boysack Mill,315356.93750,32.00000,274.93826
Great Britain,54.64870,-2.18289,S6229,Bracken Rigg,907964.75000,356.00000,77.05131
Great Britain,56.61530,-2.77566,S6230,Bractullo,123693.17188,116.00000,172.15146
Great Britain,51.74350,0.89734,S6231,Bradwell Sea,866631.43750,2.00000,124.95562
Great Britain,56.10480,-5.25827,S6232,Brainport Bay,900000.00000,37.00000,90.00000
Great Britain,54.60850,-3.46173,S6233,Brainthwaite,150000.00000,109.00000,37.73853
Great Britain,52.72230,-3.04838,S6234,Breiddin,4443647.00000,283.00000,138.59264
Great Britain,53.09740,-3.53098,S6235,Brenig,534134.81250,389.00000,322.54526
Great Britain,51.49110,-0.31743,S6236,Brentford,114236.59375,14.00000,345.02173
Great Britain,51.59260,-4.18014,S6237,Breos Cwm Gower,303726.84375,147.00000,192.92430
Great Britain,51.10700,-1.26715,S6238,Bridget's Farm,437321.40625,98.00000,260.66837
Great Britain,53.55540,-0.50236,S6239,Brigg Raft,42426.40625,5.00000,149.22774
Great Britain,53.55540,-0.50085,S6240,Brigg Track,150000.00000,5.00000,24.06544
Great Britain,54.79230,-4.10462,S6241,Brighouse Bay,129034.88281,38.00000,157.57228
Great Britain,51.22400,-1.70784,S6242,Brigmerston Down,300000.00000,98.00000,205.21800
Great Britain,52.11480,-4.04924,S6243,Bryn Maen,182482.87500,122.00000,174.14159
Great Britain,50.48040,-3.60272,S6244,Bulleigh Meadow,665770.25000,59.00000,56.98374
Great Britain,51.42450,-1.02474,S6245,Burghfield,21213.20313,37.00000,32.01295
Great Britain,51.43330,-1.00297,S6246,Burghfield Cottages,47434.16406,41.00000,168.23065
Great Britain,52.46190,0.38627,S6247,Burnt Fen,,0.00000,
Great Britain,51.10340,-1.27007,S6248,Burntwood Farm,655209.87500,88.00000,294.40915
Great Britain,50.89900,-0.57600,S6249,Bury Hill,637808.75000,150.00000,331.04291
Great Britain,53.22820,0.23839,S6250,Butterbump,42426.40625,1.00000,30.96684
Great Britain,51.02440,-2.53156,S6251,Cadbury Castle,654866.37500,149.00000,239.88184
Great Britain,53.27460,-1.59057,S6252,Cairnfield,389422.65625,313.00000,350.47247
Great Britain,51.59340,-2.74064,S6253,Caldicot Castle,416773.31250,11.00000,46.87666
Great Britain,55.36320,-1.90691,S6254,Callaly Moor,1252297.87500,210.00000,280.77820
Great Britain,52.46550,-3.84346,S6255,Camddwr,816088.25000,377.00000,319.97672
Great Britain,51.62740,0.77738,S6256,Canewdon,,,
Great Britain,51.50410,-0.70891,S6257,Cannon Hill,210000.00000,30.00000,90.00000
Great Britain,51.99320,-5.01691,S6258,Carne Coch,636749.56250,75.00000,326.57913
Great Britain,52.58530,-3.49241,S6259,Carneddau,478591.68750,413.00000,339.01794
Great Britain,52.01860,-4.82763,S6260,Carreg Coetan,594348.37500,14.00000,73.77963
Great Britain,52.29060,-0.94132,S6261,Castle Brampton,94868.32813,116.00000,348.44794
Great Britain,52.65980,-2.38444,S6262,Castle Farm,106066.01563,84.00000,4.96448
Great Britain,57.61210,-1.85269,S6263,Castle Hill,247386.34375,11.00000,187.64171
Great Britain,53.55460,-0.50842,S6264,Castlethorpe,63639.60938,5.00000,30.77227
Great Britain,50.54530,-5.00444,S6265,Cataclews,1015135.43750,20.00000,347.64517
Great Britain,50.63090,-4.62751,S6266,Cataclews Barrow,402492.25000,282.00000,231.82838
Great Britain,52.95660,-3.49771,S6267,Cefn Caer Euni,540832.68750,342.00000,338.07053
Great Britain,53.25180,-3.91727,S6268,Cefn Coch,848528.12500,418.00000,76.60201
Great Britain,51.71700,-4.01527,S6269,Cefn Drum,1195491.50000,109.00000,243.05157
Great Britain,51.70970,-3.54592,S6270,Cefn Glas,530330.06250,481.00000,31.85043
Great Britain,51.56250,-2.79930,S6271,Chapeltump,284605.00000,2.00000,298.13812
Great Britain,51.28600,-2.72996,S6272,Charterhouse Warren,331360.84375,241.00000,98.24876
Great Britain,55.52760,-1.84157,S6273,Chatton Sandyford,228473.18750,216.00000,52.92721
Great Britain,58.42180,-4.18492,S6274,Chealamy,108166.53906,29.00000,19.27751
Great Britain,51.18060,-2.87709,S6275,Chilton,21213.20313,3.00000,327.84964
Great Britain,50.73580,-1.77750,S6276,Christchurch,171026.31250,6.00000,26.27011
Great Britain,50.86290,-0.41972,S6277,Church Hill,2172671.25000,130.00000,296.73871
Great Britain,50.70820,-2.43909,S6278,Church Street,296984.84375,78.00000,32.41472
Great Britain,50.16400,-5.54022,S6279,Chysauster,513078.93750,195.00000,170.06322
Great Britain,50.85890,-0.38433,S6280,Cissbury,288530.75000,167.00000,284.00760
Great Britain,51.79650,-1.37640,S6281,City Farm,67082.03906,68.00000,17.22470
Great Britain,57.16710,-7.40273,S6282,Cladh Hallan,182482.87500,6.00000,287.05551
Great Britain,56.57910,-5.75028,S6283,Claggan,150000.00000,9.00000,270.00000
Great Britain,54.19810,-4.39169,S6284,Clayhead Cairns,1210826.12500,60.00000,27.82049
Great Britain,53.56740,-0.03071,S6285,Cleethorpes,0.00000,0.00000,0.00000
Great Britain,51.15290,1.38514,S6286,Cliffe,1771016.62500,63.00000,307.95502
Great Britain,54.98290,-3.07520,S6287,Clochmabane Stane,315356.93750,7.00000,265.26663
Great Britain,51.85160,-0.24737,S6288,Codicote,432666.15625,97.00000,222.89000
Great Britain,51.45780,-3.24804,S6289,Coed Y Cwmdda,1972942.00000,60.00000,32.55035
Great Britain,51.18100,-0.35895,S6290,Coldharbour,2085485.50000,277.00000,0.77719
Great Britain,51.41930,0.35458,S6291,Coldharbour Road,30000.00000,45.00000,90.00000
Great Britain,56.30510,-3.15083,S6292,Collessie,76485.28906,63.00000,289.78680
Great Britain,52.74740,-3.15418,S6293,Collfryn,607453.68750,95.00000,192.60219
Great Britain,50.50960,-4.58127,S6294,Colliford Reservoir,349857.12500,246.00000,226.74364
Great Britain,50.79650,0.23371,S6295,Combe Hill,2465208.00000,163.00000,281.49054
Great Britain,51.95350,-1.77734,S6296,Condicote,255440.79688,190.00000,95.43829
Great Britain,56.63010,-3.08245,S6297,Cookston Farm,221472.34375,57.00000,45.66796
Great Britain,52.36070,-3.74626,S6298,Copa Hill,4744555.00000,381.00000,249.10150
Great Britain,51.88100,-3.44281,S6299,Corn Du,2991137.00000,860.00000,328.60980
Great Britain,51.32560,1.35477,S6300,Cottington Lane,324499.62500,13.00000,316.77747
Great Britain,52.05900,-0.70902,S6301,Cotton Valley,305941.15625,61.00000,287.97604
Great Britain,51.44460,-2.81162,S6302,Court Hill,1847985.37500,55.00000,275.20367
Great Britain,54.07910,-0.54013,S6303,Cowlam,123693.17188,175.00000,293.03278
Great Britain,51.75380,-4.48643,S6304,Coygan Camp,987952.43750,36.00000,19.76414
Great Britain,50.82650,-2.05233,S6305,Crab Farm,377690.34375,100.00000,79.27171
Great Britain,58.37080,-3.40539,S6306,Craigna Feich,1021763.18750,164.00000,211.83685
Great Britain,50.92940,-2.00142,S6307,Cranborne Chase,169705.62500,68.00000,327.70844
Great Britain,51.45360,-0.96654,S6308,Crane Wharf,0.00000,43.00000,0.00000
Great Britain,54.75220,-2.00001,S6309,Crawley Edge,1129889.37500,323.00000,260.83359
Great Britain,56.50950,-4.33698,S6310,Creag Caillich,600000.00000,884.00000,157.47612
Great Britain,56.50130,-4.33812,S6311,Creagna Caillich,4477795.00000,695.00000,238.74298
Great Britain,52.56000,0.76000,S6312,Cressingham,212132.03125,42.00000,103.19227
Great Britain,53.26270,-1.19635,S6313,Creswell Crags,894986.06250,82.00000,68.07164
Great Britain,50.33170,-5.15208,S6314,Crig Mennis,1197184.25000,74.00000,293.07755
Great Britain,51.63690,0.65058,S6315,Crouch Estuary,63639.60938,0.00000,148.10776
Great Britain,51.56550,-1.11841,S6316,Crowmarsh,67082.03906,48.00000,128.73892
Great Britain,55.88410,-5.91971,S6317,Cula'Bhaile,467172.34375,69.00000,211.61588
Great Britain,57.63870,-3.69029,S6318,Culbin Sands,666108.12500,20.00000,104.26626
Great Britain,55.72510,-6.46636,S6319,Cultoon,94868.32813,98.00000,239.43263
Great Britain,51.52580,0.14811,S6320,Dagenham Marshes,90000.00000,2.00000,270.00000
Great Britain,51.28170,-1.05931,S6321,Daneshill,285394.46875,102.00000,85.20281
Great Britain,50.63990,-4.62660,S6322,Davidstow Moor Site,135830.78125,294.00000,184.04161
Great Britain,55.01400,-3.79084,S6323,Deanston Burn,241867.73438,94.00000,282.27213
Great Britain,56.02590,-3.97704,S6324,Denny,240000.00000,201.00000,360.00000
Great Britain,50.95550,-2.06551,S6325,Deverel-Rimbury,1074150.87500,129.00000,204.57785
Great Britain,51.74000,-1.40600,S6326,Devil's Quoit,152970.57813,68.00000,72.14372
Great Britain,51.73900,-1.40471,S6327,Devil's Quoits,129034.88281,66.00000,336.08469
Great Britain,50.87780,-0.20029,S6328,Devil Dyke,888172.25000,182.00000,277.62927
Great Britain,52.05210,1.27036,S6329,Devil Ring Barrow,171026.31250,25.00000,113.86342
Great Britain,53.26800,-3.54756,S6330,Dinorben,807774.75000,109.00000,166.51489
Great Britain,56.41460,-5.47126,S6331,Distillery Cave,966074.56250,16.00000,217.18161
Great Britain,51.64850,-1.15872,S6332,Dorchester Cursus,42426.40625,48.00000,328.11441
Great Britain,51.92000,1.26497,S6333,Dovercourt Bay,,0.00000,
Great Britain,50.93350,-2.00158,S6334,Down Farm,106066.01563,68.00000,102.73881
Great Britain,51.38200,1.42790,S6335,Down Park Estate,361247.84375,41.00000,82.41457
Great Britain,55.97170,-2.44226,S6336,Dryburn Bridge,329317.46875,31.00000,315.91302
Great Britain,56.06140,-3.41824,S6337,Dunfermline,212132.03125,73.00000,75.67604
Great Britain,54.77750,-1.57864,S6338,Durham Milburnegate,618465.87500,40.00000,8.22297
Great Britain,51.19730,-1.83683,S6339,Durrington down,87464.28125,103.00000,339.34467
Great Britain,51.70270,-5.15243,S6340,Dyfed,1550886.87500,9.00000,261.99515
Great Britain,53.26210,-1.60118,S6341,Eaglestone,360624.46875,281.00000,30.94657
Great Britain,51.17550,-1.73676,S6342,Earles Farm,442944.68750,123.00000,229.41618
Great Britain,53.64020,0.13154,S6343,Easington,221472.34375,0.00000,17.74398
Great Britain,54.16470,-0.56316,S6344,East Heslerton Wold,47434.16406,161.00000,11.06742
Great Britain,51.19030,-2.90304,S6345,East Huntspill,21213.20313,4.00000,147.85478
Great Britain,51.07580,-1.28895,S6346,Easton Lane,701320.18750,60.00000,215.42227
Great Britain,51.98670,-0.20424,S6347,Ebbsfleet,247386.34375,80.00000,292.04358
Great Britain,51.16150,-2.78806,S6348,Eclipse,134164.07813,4.00000,231.50893
Great Britain,53.12060,-1.85206,S6349,Ecton Hill,2002823.00000,326.00000,116.26575
Great Britain,51.40900,-0.30318,S6350,Eden Walk,195576.07813,12.00000,262.98782
Great Britain,51.18260,-2.85853,S6351,Edington Burtle,200124.96875,4.00000,249.83810
Great Britain,50.90330,-1.93457,S6352,Edmondsham,201246.12500,74.00000,51.66525
Great Britain,51.43290,-0.53826,S6353,Egham Sports Field,189736.65625,16.00000,348.23044
Great Britain,54.44840,-3.54239,S6354,Ehenside Tarn,641326.75000,26.00000,251.89996
Great Britain,55.58680,-2.70607,S6355,Eildon Hill North,3178938.50000,368.00000,306.92551
Great Britain,53.24140,-4.43843,S6356,Eithin,283019.43750,38.00000,159.44756
Great Britain,57.90740,-3.99660,S6357,Embo,258069.76563,9.00000,323.30585
Great Britain,53.02160,-4.07854,S6358,Emrys,2880156.25000,99.00000,270.98972
Great Britain,52.36280,0.56456,S6359,Eriswell,288530.75000,23.00000,229.14767
Great Britain,54.70070,-3.49763,S6360,Ewanrigg,42426.40625,11.00000,210.07710
Great Britain,53.16200,-1.86537,S6361,Fawfieldhead,484200.37500,269.00000,295.78317
Great Britain,52.50370,0.49318,S6362,Feltwell,63639.60938,1.00000,328.60699
Great Britain,52.63870,-0.20721,S6363,Fen Dyke,120000.00000,2.00000,270.00000
Great Britain,52.57400,-0.20984,S6364,Fengate,106066.01563,7.00000,283.19641
Great Britain,51.63700,0.60433,S6365,Fenn Creek,123693.17188,1.00000,248.11157
Great Britain,50.81030,-0.45415,S6366,Ferring,,0.00000,
Great Britain,51.42810,-1.02898,S6367,Field Farm,90000.00000,43.00000,90.00000
Great Britain,52.35660,0.43494,S6368,Fifty Farm,106066.01563,4.00000,283.13330
Great Britain,52.67080,-1.72343,S6369,Fisherwick,47434.16406,57.00000,348.54514
Great Britain,50.70740,-2.41925,S6370,Flagstones House,556821.31250,72.00000,277.27664
Great Britain,53.41760,-1.38756,S6371,Flat Dyke,422670.09375,39.00000,131.03726
Great Britain,57.59840,-4.49349,S6372,Fodderty,429534.62500,20.00000,68.24181
