"BoneID","Measurement",PrimaryKey,Value
"B3984","Bp",15215,42.8
"B3984","GL",15216,207.2
"B3984","Dd",15217,27.8
"B3984","Dp",15218,39.5
"B3985","Bd",15221,51.3
"B3985","Bp",15222,43
"B3985","GL",15223,212.2
"B3985","Dd",15224,28.5
"B3985","Dp",15225,40.9
"B3986","Bp",15228,43
"B3986","GL",15229,222.3
"B3986","Dd",15230,27.7
"B3986","Dp",15231,42
"B3987","Bd",15235,50.7
"B3988","Bd",15241,51.6
"B3989","Bd",15247,56
"B3990","GB",15253,43.4
"B3991","GB",15254,48
"B3992","GB",15255,48.4
"B3993","GB",15256,53.5
"B3994","GB",15257,57
"B3995","Bd",15258,25.4
"B3995","Bp",15259,26.7
"B3995","GLpe",15260,51.6
"B3995","SD",15261,22
"B3996","Bd",15266,24.8
"B3996","Bp",15267,26.7
"B3996","GLpe",15268,52.2
"B3996","SD",15269,22.5
"B3997","Bd",15274,25
"B3997","Bp",15275,25.1
"B3997","GLpe",15276,54.3
"B3997","SD",15277,22.4
"B3998","GLpe",15282,54.3
"B3998","SD",15283,22.2
"B3999","Bd",15290,24.7
"B3999","Bp",15291,25.5
"B3999","GLpe",15292,54.5
"B3999","SD",15293,22.2
"B4000","Bd",15298,26
"B4000","Bp",15299,26.2
"B4000","GLpe",15300,54.6
"B4000","SD",15301,23.5
"B4001","Bd",15306,24
"B4001","GLpe",15307,55.5
"B4001","SD",15308,21.3
"B4002","Bp",15314,28.9
"B4002","GLpe",15315,62.2
"B4002","SD",15316,27
"B4003","Bd",15322,35.2
"B4003","GLpe",15323,63
"B4003","SD",15324,30
"B4004","Bp",15330,25.1
"B4004","SD",15331,21.3
"B4005","Bd",15338,24.3
"B4005","Bp",15339,25
"B4005","GLpe",15340,53.6
"B4005","SD",15341,21
"B4006","Bd",15346,24
"B4006","Bp",15347,25.5
"B4006","GLpe",15348,55
"B4006","SD",15349,21.4
"B4007","Bd",15354,24.2
"B4007","Bp",15355,26
"B4007","GLpe",15356,55.8
"B4007","SD",15357,22
"B4008","Bd",15362,26
"B4008","Bp",15363,27
"B4008","GLpe",15364,57.6
"B4008","SD",15365,21.5
"B4009","Bp",15370,28.2
"B4009","GLpe",15371,59
"B4009","SD",15372,24
"B4010","Bd",15378,28.5
"B4010","Bp",15379,27.3
"B4010","GLpe",15380,60.5
"B4010","SD",15381,24
"B4011","Bd",15386,26.7
"B4011","Bp",15387,28.8
"B4011","GLpe",15388,61
"B4011","SD",15389,24
"B4012","Bd",15394,29.1
"B4012","Bp",15395,30
"B4012","GLpe",15396,62.5
"B4012","SD",15397,25
"B4013","Bd",15402,25.5
"B4014","Bd",15409,22.1
"B4014","Bp",15410,26.5
"B4014","GLpe",15411,33.7
"B4014","SD",15412,21.1
"B4015","Bd",15417,28.4
"B4015","Bp",15418,35.1
"B4015","GLpe",15419,39.3
"B4015","SD",15420,27
"B4016","SD",15425,27.5
"B4017","Bp",15433,23
"B4017","GLpe",15434,34.8
"B4017","SD",15435,18.8
"B4018","Bp",15441,25.7
"B4018","GLpe",15442,35
"B4018","SD",15443,19.6
"B4019","Bd",15449,22.7
"B4019","Bp",15450,26.2
"B4019","GLpe",15451,35
"B4019","SD",15452,20.8
"B4020","Bd",15457,25.5
"B4020","Bp",15458,32
"B4020","GLpe",15459,39.5
"B4020","SD",15460,24.2
"B4021","Bp",15465,31.5
"B4021","GLpe",15466,41
"B4021","SD",15467,24.5
"B4022","DLS",15473,57
"B4023","DLS",15478,58.7
"B4024","DLS",15483,59
"B4025","DLS",15488,64.4
"B4026","DLS",15493,65.3
"B4027","Bd",15498,63.6
"B4027","BFp",15499,63.4
"B4027","Bp",15500,71
"B4027","GL",15501,249
"B4027","SD",15502,36
"B4028","BFp",15505,70.4
"B4029","BFp",15511,70.4
"B4029","Bp",15512,77.1
"B4030","BFp",15517,73
"B4030","Bp",15518,78
"B4031","BFp",15523,73
"B4031","Bp",15524,79
"B4032","Bd",15529,70.8
"B4033","Bd",15535,72.3
"B4034","GLP",15541,71
"B4035","GLP",15545,73.5
"B4036","BPC",15549,39
"B4036","DPA",15550,55
"B4037","BPC",15555,41
"B4037","DPA",15556,56
"B4038","BPC",15561,41
"B4038","DPA",15562,66.6
"B4039","LA",15568,23.6
"B4039","LAR",15569,21
"B4040","BG",15570,14.9
"B4040","GLP",15571,25.8
"B4040","SLC",15572,21
"B4040","LG",15573,23.2
"B4041","GL",15575,54.9
"B4042","GL",15577,56.8
"B4043","Bd",15579,27.8
"B4044","Bp",15585,22
"B4045","Bp",15590,18
"B4046","Bp",15596,18
"B4047","Bp",15602,17.7
"B4048","Bp",15608,20.1
"B4049","BFp",15614,26.3
"B4049","Bp",15615,27.3
"B4050","Bd",15620,18.3
"B4050","GLl",15621,27.7
"B4050","GLm",15622,25.8
"B4050","Dl",15623,15.2
"B4051","Bd",15629,18.3
"B4051","GLl",15630,28
"B4051","GLm",15631,26
"B4051","Dl",15632,14.8
"B4052","Bd",15638,18.6
"B4052","GLl",15639,29.3
"B4052","GLm",15640,27.5
"B4052","Dl",15641,15.9
"B4053","Dl",15647,14.9
"B4054","Bfcr",15656,47.6
"B4054","GL",15657,56.2
"B4055","GL",15661,53.3
"B4056","Bd",15663,32.3
"B4057","Bd",15669,24.4
"B4057","Bp",15670,21.7
"B4057","GL",15671,119.5
"B4057","SD",15672,13.9
"B4058","Bp",15675,20.5
"B4059","Bp",15680,22
"B4060","Bp",15685,22.8
